,area_type,location,total_sqft,bath,balcony,price,bhk
1176,Super built-up  Area,Bharathi Nagar,1384.0,2.0,2.0,59.0,2
1177,Super built-up  Area,Bharathi Nagar,1351.0,2.0,2.0,74.0,2
1178,Super built-up  Area,Bharathi Nagar,1432.0,2.0,2.0,68.0,2
1180,Super built-up  Area,Bharathi Nagar,1349.0,2.0,2.0,56.7,2
1181,Super built-up  Area,Bharathi Nagar,1328.0,2.0,2.0,69.0,2
1182,Built-up  Area,Bharathi Nagar,1300.0,2.0,2.0,55.86,2
1183,Super built-up  Area,Bhoganhalli,1670.0,3.0,1.0,99.0,3
1186,Super built-up  Area,Bhoganhalli,1444.0,2.0,1.0,75.97,2
1187,Super built-up  Area,Bhoganhalli,1447.0,2.0,1.0,75.97,2
1188,Built-up  Area,Bhoganhalli,1700.0,3.0,2.0,126.0,3
1189,Super built-up  Area,Bhoganhalli,1447.0,2.0,1.0,75.97,2
1193,Super built-up  Area,Bhoganhalli,1760.0,3.0,2.0,127.0,3
1195,Super built-up  Area,Bhoganhalli,1447.0,2.0,1.0,75.97,2
1196,Super built-up  Area,Bhoganhalli,1949.0,3.0,2.0,129.0,3
1197,Super built-up  Area,Bhoganhalli,1760.0,3.0,2.0,128.0,3
1198,Super built-up  Area,Bhoganhalli,1447.0,2.0,1.0,75.97,2
1199,Super built-up  Area,Bhoganhalli,2439.0,4.0,3.0,185.0,4
1203,Super built-up  Area,Bhoganhalli,1444.0,2.0,1.0,75.97,2
1204,Super built-up  Area,Bhoganhalli,1205.0,2.0,2.0,64.47,2
1205,Super built-up  Area,Bhoganhalli,1447.0,2.0,1.0,75.97,2
1206,Built-up  Area,Bhoganhalli,2439.0,5.0,2.0,170.0,4
1208,Super built-up  Area,Bhoganhalli,1205.0,2.0,1.0,68.32,2
1209,Super built-up  Area,Bhoganhalli,1260.0,2.0,1.0,69.9,2
1210,Super built-up  Area,Bhoganhalli,2439.0,4.0,3.0,170.0,4
1211,Super built-up  Area,Bhoganhalli,1707.0,3.0,2.0,115.0,3
1213,Built-up  Area,Bhoganhalli,970.0,2.0,1.0,52.5,2
1215,Super built-up  Area,Bhoganhalli,1277.0,2.0,1.0,79.89,2
1217,Super built-up  Area,Bhoganhalli,1703.0,3.0,2.0,120.0,3
1219,Super built-up  Area,Billekahalli,1125.0,2.0,2.0,62.0,2
1221,Super built-up  Area,Billekahalli,1090.0,2.0,3.0,52.0,2
1222,Super built-up  Area,Billekahalli,1112.0,2.0,2.0,62.0,2
1223,Built-up  Area,Billekahalli,2400.0,3.0,1.0,150.0,3
1224,Super built-up  Area,Billekahalli,2968.0,3.0,2.0,225.0,3
1225,Super built-up  Area,Billekahalli,950.0,2.0,1.0,58.11,2
1226,Super built-up  Area,Billekahalli,1360.0,2.0,3.0,110.0,2
1227,Super built-up  Area,Billekahalli,1125.0,2.0,1.0,65.0,2
1228,Super built-up  Area,Billekahalli,950.0,2.0,2.0,56.0,2
1230,Built-up  Area,Billekahalli,1805.0,3.0,3.0,134.0,3
1231,Super built-up  Area,Binny Pete,1755.0,3.0,1.0,122.0,3
1232,Super built-up  Area,Binny Pete,665.0,1.0,0.0,50.75,1
1233,Super built-up  Area,Binny Pete,2465.0,5.0,2.0,234.0,3
1234,Super built-up  Area,Binny Pete,660.0,1.0,1.0,54.0,1
1235,Super built-up  Area,Binny Pete,660.0,1.0,1.0,62.0,1
1236,Super built-up  Area,Binny Pete,1365.0,2.0,1.0,122.0,2
1237,Super built-up  Area,Binny Pete,2940.0,6.0,2.0,280.0,4
1238,Super built-up  Area,Binny Pete,1795.0,3.0,2.0,139.0,3
1239,Super built-up  Area,Binny Pete,1740.0,3.0,1.0,150.0,3
1240,Super built-up  Area,Binny Pete,1970.0,3.0,2.0,164.0,3
1241,Super built-up  Area,Binny Pete,1516.0,3.0,1.0,147.0,3
1242,Super built-up  Area,Bisuvanahalli,1180.0,3.0,2.0,48.0,3
1244,Super built-up  Area,Bisuvanahalli,1075.0,2.0,1.0,46.0,3
1247,Super built-up  Area,Bisuvanahalli,1075.0,2.0,1.0,45.0,3
1249,Built-up  Area,Bisuvanahalli,845.0,2.0,1.0,33.0,2
1250,Super built-up  Area,Bisuvanahalli,1075.0,2.0,1.0,45.0,3
1251,Super built-up  Area,Bisuvanahalli,845.0,2.0,1.0,37.0,2
1254,Super built-up  Area,Bisuvanahalli,845.0,2.0,1.0,29.0,2
1255,Super built-up  Area,Bisuvanahalli,1075.0,2.0,1.0,47.0,3
1256,Super built-up  Area,Bisuvanahalli,850.0,1.0,1.0,32.0,2
1257,Super built-up  Area,Bisuvanahalli,1075.0,2.0,1.0,50.0,3
1258,Super built-up  Area,Bisuvanahalli,1075.0,2.0,1.0,52.0,3
1259,Super built-up  Area,Bisuvanahalli,1180.0,2.0,1.0,46.0,3
1260,Super built-up  Area,Bisuvanahalli,1075.0,2.0,1.0,42.0,3
1261,Super built-up  Area,Bisuvanahalli,845.0,2.0,1.0,37.0,2
1262,Super built-up  Area,Bisuvanahalli,1075.0,2.0,1.0,43.0,3
1263,Built-up  Area,Bisuvanahalli,700.0,1.0,1.0,32.0,2
1264,Super built-up  Area,Bisuvanahalli,1075.0,2.0,1.0,52.0,3
1265,Super built-up  Area,Bisuvanahalli,1075.0,2.0,1.0,50.0,3
1267,Super built-up  Area,Bisuvanahalli,845.0,2.0,1.0,33.0,2
1268,Super built-up  Area,Bisuvanahalli,945.0,2.0,1.0,33.0,2
1269,Built-up  Area,Bisuvanahalli,845.0,2.0,1.0,30.0,2
1272,Super built-up  Area,Bisuvanahalli,1075.0,2.0,1.0,43.0,3
1273,Built-up  Area,Bisuvanahalli,1080.0,2.0,1.0,45.0,3
1274,Super built-up  Area,Bisuvanahalli,1180.0,2.0,1.0,55.5,3
1275,Super built-up  Area,Bisuvanahalli,1075.0,2.0,1.0,47.0,3
1276,Super built-up  Area,Bisuvanahalli,1075.0,2.0,1.0,48.0,3
1278,Super built-up  Area,Bisuvanahalli,1075.0,2.0,1.0,45.0,3
1279,Super built-up  Area,Bisuvanahalli,1075.0,2.0,1.0,44.0,3
1280,Super built-up  Area,Bisuvanahalli,850.0,2.0,1.0,27.0,2
1281,Super built-up  Area,Bisuvanahalli,1075.0,2.0,1.0,42.0,3
1282,Super built-up  Area,Bisuvanahalli,845.0,2.0,2.0,32.0,2
1284,Built-up  Area,Bisuvanahalli,845.0,2.0,0.0,34.0,2
1285,Built-up  Area,Bommanahalli,3000.0,8.0,0.0,140.0,8
1286,Super built-up  Area,Bommanahalli,520.0,1.0,0.0,19.5,1
1287,Built-up  Area,Bommanahalli,515.0,1.0,1.0,25.0,1
1288,Built-up  Area,Bommanahalli,1090.0,3.0,2.0,44.0,2
1292,Super built-up  Area,Bommanahalli,1850.0,3.0,2.0,90.0,3
1293,Super built-up  Area,Bommanahalli,910.0,2.0,1.0,45.0,2
1294,Super built-up  Area,Bommanahalli,1050.0,2.0,2.0,46.0,2
1295,Super built-up  Area,Bommanahalli,1100.0,1.0,2.0,55.0,2
1297,Super built-up  Area,Bommanahalli,2100.0,4.0,2.0,85.0,4
1298,Super built-up  Area,Bommanahalli,1307.0,2.0,1.0,50.0,2
1299,Built-up  Area,Bommanahalli,1091.0,2.0,1.0,40.0,2
1300,Super built-up  Area,Bommanahalli,1160.0,2.0,3.0,53.0,2
1301,Super built-up  Area,Bommanahalli,1050.0,2.0,2.0,54.0,2
1302,Super built-up  Area,Bommasandra,1260.0,3.0,1.0,49.36,3
1303,Super built-up  Area,Bommasandra,1200.0,3.0,2.0,46.0,3
1304,Super built-up  Area,Bommasandra,1035.0,2.0,1.0,41.0,2
1305,Super built-up  Area,Bommasandra,1035.0,2.0,1.0,41.73,2
1306,Super built-up  Area,Bommasandra,1034.0,2.0,3.0,40.0,2
1307,Built-up  Area,Bommasandra,877.0,2.0,2.0,30.0,2
1308,Super built-up  Area,Bommasandra,920.0,2.0,1.0,37.46,2
1309,Super built-up  Area,Bommasandra,1035.0,2.0,1.0,41.43,2
1310,Super built-up  Area,Bommasandra,1295.0,2.0,1.0,50.28,3
1312,Super built-up  Area,Bommasandra,1015.0,2.0,1.0,40.0,2
1313,Built-up  Area,Bommasandra,1000.0,2.0,1.0,35.0,2
1314,Super built-up  Area,Bommasandra,955.0,2.0,1.0,35.28,2
1315,Super built-up  Area,Bommasandra,1005.0,2.0,1.0,39.77,2
1316,Super built-up  Area,Bommasandra,1014.0,2.0,1.0,35.0,2
1317,Super built-up  Area,Bommasandra,1020.0,2.0,1.0,40.89,2
1318,Super built-up  Area,Bommasandra,920.0,2.0,1.0,37.2,2
1319,Super built-up  Area,Bommasandra,800.0,1.0,1.0,32.0,2
1320,Super built-up  Area,Bommasandra,1280.0,3.0,1.0,50.0,3
1321,Plot  Area,Bommasandra,1942.0,3.0,2.0,90.0,3
1322,Super built-up  Area,Bommasandra,1127.0,2.0,1.0,45.0,2
1324,Super built-up  Area,Bommasandra,877.0,2.0,1.0,29.0,2
1325,Super built-up  Area,Bommasandra,1365.0,3.0,1.0,52.81,3
1326,Super built-up  Area,Bommasandra,842.0,2.0,2.0,30.0,2
1327,Super built-up  Area,Bommasandra,1260.0,3.0,1.0,49.36,3
1328,Super built-up  Area,Bommasandra,1365.0,3.0,1.0,52.82,3
1329,Super built-up  Area,Bommasandra,955.0,2.0,1.0,37.97,2
1330,Super built-up  Area,Bommasandra,1089.0,2.0,1.0,40.0,2
1331,Super built-up  Area,Bommasandra,1365.0,3.0,1.0,53.96,3
1332,Built-up  Area,Bommasandra Industrial Area,1090.0,2.0,2.0,31.48,2
1334,Built-up  Area,Bommasandra Industrial Area,1400.0,2.0,1.0,40.44,3
1335,Built-up  Area,Bommasandra Industrial Area,1320.0,2.0,1.0,38.13,3
1337,Built-up  Area,Bommasandra Industrial Area,1020.0,2.0,1.0,29.45,2
1338,Built-up  Area,Bommasandra Industrial Area,1165.0,2.0,1.0,33.64,2
1339,Built-up  Area,Bommasandra Industrial Area,1090.0,2.0,1.0,31.48,2
1341,Built-up  Area,Bommasandra Industrial Area,1000.0,2.0,1.0,28.88,2
1342,Built-up  Area,Bommasandra Industrial Area,1020.0,2.0,1.0,29.45,2
1343,Built-up  Area,Bommasandra Industrial Area,1160.0,2.0,1.0,33.51,2
1344,Built-up  Area,Bommasandra Industrial Area,1125.0,2.0,1.0,32.49,2
1347,Built-up  Area,Bommasandra Industrial Area,1125.0,2.0,1.0,32.49,2
1348,Built-up  Area,Bommasandra Industrial Area,1130.0,2.0,1.0,32.64,2
1349,Built-up  Area,Bommasandra Industrial Area,1065.0,2.0,1.0,30.75,2
1350,Plot  Area,Bommenahalli,1200.0,3.0,1.0,125.0,3
1351,Built-up  Area,Bommenahalli,1632.0,3.0,0.0,145.0,4
1352,Plot  Area,Bommenahalli,1670.0,3.0,0.0,135.0,4
1353,Built-up  Area,Bommenahalli,1680.0,3.0,0.0,135.0,4
1354,Plot  Area,Bommenahalli,1632.0,3.0,1.0,128.0,4
1355,Built-up  Area,Bommenahalli,3339.0,3.0,0.0,250.0,3
1356,Plot  Area,Bommenahalli,1355.0,3.0,0.0,135.0,4
1357,Plot  Area,Bommenahalli,1232.0,3.0,1.0,96.0,3
1358,Built-up  Area,Bommenahalli,1632.0,3.0,0.0,140.0,4
1359,Super built-up  Area,Brookefield,1150.0,2.0,3.0,69.0,2
1360,Built-up  Area,Brookefield,1142.0,2.0,2.0,70.0,2
1364,Plot  Area,Brookefield,2800.0,4.0,2.0,240.0,4
1365,Super built-up  Area,Brookefield,1476.0,3.0,2.0,105.0,3
1366,Plot  Area,Brookefield,1700.0,4.0,1.0,152.0,4
1367,Super built-up  Area,Brookefield,1262.0,2.0,1.0,75.0,2
1368,Super built-up  Area,Brookefield,1139.0,2.0,2.0,80.0,2
1369,Super built-up  Area,Brookefield,1125.0,2.0,2.0,70.0,2
1370,Super built-up  Area,Brookefield,1420.0,3.0,2.0,85.0,3
1372,Super built-up  Area,Brookefield,941.0,2.0,2.0,48.0,2
1375,Built-up  Area,Brookefield,1100.0,2.0,1.0,55.0,2
1376,Super built-up  Area,Brookefield,2400.0,3.0,3.0,140.0,4
1377,Built-up  Area,Brookefield,1225.0,2.0,2.0,66.5,2
1378,Plot  Area,Brookefield,1950.0,6.0,3.0,175.0,5
1379,Super built-up  Area,Brookefield,1080.0,2.0,3.0,50.0,2
1380,Built-up  Area,Brookefield,1230.0,2.0,3.0,55.0,2
1381,Super built-up  Area,Brookefield,1200.0,2.0,2.0,75.0,2
1382,Super built-up  Area,Brookefield,1089.0,2.0,1.0,49.0,2
1383,Super built-up  Area,Brookefield,1130.0,2.0,2.0,56.0,2
1384,Super built-up  Area,Brookefield,1270.0,2.0,1.0,95.0,2
1385,Super built-up  Area,Brookefield,1706.0,3.0,2.0,115.0,3
1386,Super built-up  Area,Brookefield,1389.0,2.0,2.0,94.0,2
1388,Built-up  Area,Brookefield,1225.0,2.0,2.0,72.0,2
1390,Super built-up  Area,Brookefield,1746.0,3.0,3.0,115.0,3
1392,Plot  Area,Brookefield,1560.0,3.0,2.0,149.0,4
1394,Super built-up  Area,Brookefield,1382.0,2.0,2.0,84.5,2
1395,Super built-up  Area,Brookefield,1260.0,2.0,1.0,70.0,2
1396,Super built-up  Area,Brookefield,1206.0,2.0,2.0,90.0,2
1398,Super built-up  Area,Brookefield,1594.0,3.0,2.0,140.0,3
1399,Super built-up  Area,Budigere,1153.0,2.0,2.0,56.4,2
1400,Super built-up  Area,Budigere,1162.0,2.0,1.0,59.9,2
1401,Super built-up  Area,Budigere,1991.0,4.0,2.0,103.0,3
1402,Super built-up  Area,Budigere,1153.0,2.0,2.0,57.0,2
1403,Super built-up  Area,Budigere,1162.0,2.0,1.0,57.0,2
1404,Super built-up  Area,Budigere,1139.0,2.0,2.0,62.0,2
1405,Super built-up  Area,Budigere,1139.0,2.0,2.0,56.8,2
1406,Super built-up  Area,Budigere,1139.0,2.0,2.0,56.85,2
1409,Super built-up  Area,Budigere,664.0,1.0,1.0,35.0,1
1410,Super built-up  Area,Budigere,1820.0,3.0,2.0,93.0,3
1411,Super built-up  Area,Budigere,1636.0,3.0,2.0,85.0,3
1412,Super built-up  Area,Budigere,1444.0,2.0,2.0,70.0,2
1414,Super built-up  Area,Budigere,1139.0,2.0,2.0,60.0,2
1416,Super built-up  Area,Budigere,1820.0,3.0,2.0,93.0,3
1418,Super built-up  Area,Budigere,1162.0,2.0,1.0,58.0,2
1419,Super built-up  Area,Budigere,1636.0,3.0,2.0,85.0,3
1420,Super built-up  Area,Budigere,1636.0,3.0,2.0,92.0,3
1421,Super built-up  Area,Budigere,1087.0,2.0,1.0,54.3,2
1423,Super built-up  Area,Budigere,1149.0,2.0,2.0,65.0,2
1424,Super built-up  Area,Budigere,664.0,1.0,1.0,35.4,1
1425,Super built-up  Area,Budigere,1153.0,2.0,2.0,56.7,2
1427,Super built-up  Area,Budigere,1139.0,2.0,2.0,56.5,2
1428,Super built-up  Area,Budigere,1636.0,3.0,2.0,83.0,3
1429,Built-up  Area,Budigere,664.0,1.0,1.0,34.0,1
1431,Super built-up  Area,Budigere,1162.0,2.0,1.0,58.0,2
1432,Super built-up  Area,Budigere,1153.0,2.0,2.0,60.0,2
1433,Super built-up  Area,Budigere,1820.0,3.0,2.0,99.0,3
1435,Super built-up  Area,Budigere,1820.0,3.0,2.0,95.0,3
1437,Built-up  Area,Budigere,1820.0,3.0,2.0,95.5,3
1438,Super built-up  Area,Budigere,1153.0,2.0,2.0,56.0,2
1439,Super built-up  Area,Budigere,1153.0,2.0,2.0,56.5,2
1440,Super built-up  Area,Budigere,1153.0,2.0,2.0,58.0,2
1441,Super built-up  Area,Budigere,1636.0,3.0,2.0,88.0,3
1442,Super built-up  Area,Budigere,1153.0,2.0,2.0,56.55,2
1443,Super built-up  Area,Budigere,1153.0,2.0,2.0,56.5,2
1444,Super built-up  Area,Budigere,1153.0,2.0,2.0,60.0,2
1446,Super built-up  Area,CV Raman Nagar,1120.0,2.0,2.0,55.0,2
1447,Built-up  Area,CV Raman Nagar,1070.0,2.0,1.0,55.0,2
1448,Super built-up  Area,CV Raman Nagar,740.0,2.0,1.0,37.0,2
1449,Built-up  Area,CV Raman Nagar,1028.0,2.0,1.0,49.0,2
1450,Super built-up  Area,CV Raman Nagar,1392.0,2.0,1.0,98.0,2
1451,Super built-up  Area,CV Raman Nagar,1070.0,2.0,2.0,47.5,2
1452,Super built-up  Area,CV Raman Nagar,1825.0,3.0,2.0,126.0,3
1453,Super built-up  Area,CV Raman Nagar,1025.0,2.0,2.0,50.0,2
1455,Super built-up  Area,CV Raman Nagar,1198.0,2.0,2.0,60.0,2
1456,Super built-up  Area,CV Raman Nagar,1560.0,2.0,2.0,85.0,2
1457,Super built-up  Area,CV Raman Nagar,1590.0,2.0,3.0,85.0,3
1458,Super built-up  Area,CV Raman Nagar,1100.0,2.0,1.0,58.0,2
1459,Super built-up  Area,CV Raman Nagar,1051.0,2.0,3.0,61.0,2
1461,Super built-up  Area,CV Raman Nagar,1020.0,2.0,1.0,55.0,2
1462,Super built-up  Area,CV Raman Nagar,1285.0,2.0,2.0,65.0,2
1463,Super built-up  Area,CV Raman Nagar,1040.0,2.0,1.0,50.0,2
1464,Super built-up  Area,CV Raman Nagar,1392.0,2.0,1.0,95.0,2
1465,Super built-up  Area,CV Raman Nagar,705.0,2.0,1.0,50.0,1
1466,Built-up  Area,CV Raman Nagar,1125.0,2.0,1.0,46.0,2
1467,Super built-up  Area,CV Raman Nagar,1400.0,2.0,2.0,78.0,3
1468,Super built-up  Area,CV Raman Nagar,1400.0,2.0,2.0,78.0,3
1469,Super built-up  Area,CV Raman Nagar,907.0,2.0,2.0,38.0,2
1471,Built-up  Area,CV Raman Nagar,1310.0,2.0,1.0,62.0,2
1472,Super built-up  Area,Chamrajpet,1475.0,2.0,2.0,120.0,3
1473,Super built-up  Area,Chamrajpet,1900.0,2.0,1.0,170.0,4
1474,Super built-up  Area,Chamrajpet,1350.0,2.0,3.0,180.0,2
1475,Built-up  Area,Chamrajpet,1050.0,2.0,1.0,162.0,2
1476,Plot  Area,Chamrajpet,1660.4,4.0,2.0,211.0,4
1477,Built-up  Area,Chamrajpet,505.0,1.0,0.0,85.0,1
1478,Built-up  Area,Chamrajpet,1565.0,3.0,2.0,98.91,3
1479,Super built-up  Area,Chamrajpet,730.0,1.0,2.0,52.0,2
1480,Super built-up  Area,Chamrajpet,650.0,1.0,1.0,40.0,2
1481,Super built-up  Area,Chamrajpet,650.0,2.0,2.0,45.0,2
1482,Super built-up  Area,Chamrajpet,1650.0,3.0,2.0,115.0,3
1483,Built-up  Area,Chandapura,650.0,1.0,1.0,17.0,2
1484,Super built-up  Area,Chandapura,645.0,1.0,1.0,16.45,1
1485,Super built-up  Area,Chandapura,645.0,1.0,1.0,16.45,1
1487,Super built-up  Area,Chandapura,1015.0,2.0,2.0,25.88,2
1488,Super built-up  Area,Chandapura,530.0,1.0,0.0,11.66,1
1489,Super built-up  Area,Chandapura,1208.0,3.0,1.0,45.0,3
1491,Super built-up  Area,Chandapura,1200.0,2.0,2.0,32.0,2
1492,Super built-up  Area,Chandapura,1025.0,2.0,2.0,27.68,2
1493,Super built-up  Area,Chandapura,1015.0,2.0,2.0,25.88,2
1495,Super built-up  Area,Chandapura,1065.0,2.0,1.0,33.0,3
1498,Super built-up  Area,Chandapura,850.0,2.0,1.0,25.4,2
1499,Super built-up  Area,Chandapura,590.0,1.0,0.0,13.57,1
1500,Super built-up  Area,Chandapura,645.0,1.0,1.0,16.45,1
1501,Super built-up  Area,Chandapura,630.0,1.0,0.0,13.86,1
1503,Super built-up  Area,Chandapura,1015.0,2.0,2.0,25.88,2
1504,Super built-up  Area,Chandapura,1107.0,2.0,1.0,43.0,3
1505,Super built-up  Area,Chandapura,520.0,1.0,1.0,14.04,1
1506,Plot  Area,Chandapura,1200.0,1.0,1.0,36.0,2
1507,Super built-up  Area,Chandapura,975.0,2.0,1.0,24.86,2
1508,Super built-up  Area,Chandapura,645.0,1.0,1.0,16.45,1
1509,Super built-up  Area,Chandapura,985.0,2.0,1.0,25.12,2
1510,Super built-up  Area,Chandapura,645.0,1.0,1.0,16.45,1
1511,Super built-up  Area,Chandapura,975.0,2.0,1.0,24.86,2
1512,Super built-up  Area,Chandapura,700.0,1.0,1.0,19.0,2
1514,Super built-up  Area,Chandapura,1095.0,2.0,2.0,32.0,3
1515,Built-up  Area,Chandapura,1208.51,3.0,2.0,42.0,3
1516,Super built-up  Area,Chandapura,876.0,2.0,2.0,29.5,2
1517,Super built-up  Area,Chandapura,645.0,1.0,1.0,16.45,1
1519,Super built-up  Area,Chandapura,645.0,1.0,1.0,16.45,1
1520,Super built-up  Area,Chandapura,937.0,2.0,1.0,30.0,2
1521,Super built-up  Area,Chandapura,1025.0,2.0,2.0,27.68,2
1522,Super built-up  Area,Chandapura,975.0,2.0,1.0,24.86,2
1523,Super built-up  Area,Chandapura,800.0,2.0,1.0,25.0,2
1524,Super built-up  Area,Chandapura,645.0,1.0,1.0,16.45,1
1526,Super built-up  Area,Chandapura,950.0,2.0,1.0,25.65,2
1527,Plot  Area,Chandapura,1200.0,2.0,1.0,36.0,2
1528,Super built-up  Area,Chandapura,645.0,1.0,1.0,16.45,1
1529,Super built-up  Area,Chandapura,922.0,2.0,1.0,36.0,2
1531,Super built-up  Area,Chandapura,674.0,1.0,1.0,19.9,2
1536,Super built-up  Area,Chandapura,985.0,2.0,1.0,25.12,2
1538,Super built-up  Area,Chandapura,1025.0,2.0,2.0,27.68,2
1540,Super built-up  Area,Chandapura,1015.0,2.0,2.0,25.88,2
1541,Super built-up  Area,Chandapura,1345.0,2.0,2.0,39.5,3
1542,Super built-up  Area,Chandapura,1033.0,2.0,2.0,30.47,3
1543,Super built-up  Area,Chandapura,971.0,2.0,2.0,38.0,3
1544,Super built-up  Area,Chandapura,1015.0,2.0,2.0,25.88,2
1545,Built-up  Area,Chandapura,800.0,1.0,2.0,30.0,2
1547,Super built-up  Area,Chandapura,900.0,2.0,3.0,35.0,2
1548,Super built-up  Area,Chandapura,975.0,2.0,1.0,24.86,2
1549,Super built-up  Area,Chandapura,520.0,1.0,1.0,14.04,1
1552,Super built-up  Area,Chandapura,1323.0,2.0,1.0,42.0,3
1553,Super built-up  Area,Chandapura,410.0,1.0,1.0,10.0,1
1554,Super built-up  Area,Chandapura,985.0,2.0,1.0,25.12,2
1555,Super built-up  Area,Chandapura,645.0,1.0,1.0,16.45,1
1556,Super built-up  Area,Chandapura,645.0,1.0,1.0,16.45,1
1557,Plot  Area,Chandapura,1200.0,2.0,1.0,36.0,2
1558,Built-up  Area,Chandapura,740.0,1.0,1.0,22.0,2
1559,Super built-up  Area,Chandapura,876.0,2.0,2.0,28.47,2
1561,Super built-up  Area,Chandapura,520.0,1.0,1.0,14.04,1
1563,Super built-up  Area,Channasandra,1009.0,2.0,1.0,38.34,2
1564,Super built-up  Area,Channasandra,1065.0,2.0,1.0,35.0,2
1565,Super built-up  Area,Channasandra,1470.0,2.0,1.0,90.0,3
1566,Super built-up  Area,Channasandra,1115.0,2.0,1.0,33.45,2
1567,Super built-up  Area,Channasandra,1030.0,2.0,1.0,34.5,2
1568,Built-up  Area,Channasandra,4200.0,6.0,0.0,180.0,6
1569,Super built-up  Area,Channasandra,1115.0,2.0,1.0,40.0,2
1570,Plot  Area,Channasandra,1200.0,3.0,1.0,67.77,3
1571,Super built-up  Area,Channasandra,1104.0,2.0,1.0,35.5,2
1572,Super built-up  Area,Channasandra,1160.0,2.0,1.0,55.0,2
1573,Super built-up  Area,Channasandra,1050.0,2.0,2.0,41.0,2
1574,Super built-up  Area,Channasandra,1065.0,2.0,1.0,40.47,2
1576,Super built-up  Area,Channasandra,1070.0,2.0,1.0,38.0,2
1577,Super built-up  Area,Channasandra,1050.0,2.0,1.0,35.0,2
1578,Super built-up  Area,Channasandra,1093.0,2.0,1.0,34.0,2
1579,Built-up  Area,Channasandra,808.0,2.0,1.0,40.0,2
1580,Super built-up  Area,Channasandra,1010.0,2.0,1.0,36.0,2
1581,Super built-up  Area,Channasandra,1123.0,2.0,1.0,36.0,2
1582,Super built-up  Area,Channasandra,1000.0,2.0,2.0,35.0,2
1583,Plot  Area,Channasandra,1500.0,4.0,1.0,89.45,4
1584,Super built-up  Area,Channasandra,1330.0,2.0,2.0,51.83,3
1585,Super built-up  Area,Channasandra,1093.0,2.0,1.0,37.0,2
1586,Super built-up  Area,Channasandra,1115.0,2.0,1.0,35.8,2
1587,Plot  Area,Channasandra,1500.0,3.0,1.0,61.95,3
1589,Super built-up  Area,Channasandra,830.0,2.0,1.0,36.28,2
1590,Plot  Area,Channasandra,1200.0,3.0,1.0,67.77,3
1591,Super built-up  Area,Channasandra,1195.0,2.0,1.0,56.0,3
1592,Super built-up  Area,Channasandra,1175.0,2.0,2.0,38.0,2
1593,Plot  Area,Channasandra,1200.0,2.0,1.0,46.13,2
1594,Super built-up  Area,Channasandra,1065.0,2.0,1.0,36.0,2
1595,Super built-up  Area,Channasandra,1050.0,2.0,1.0,44.41,2
1596,Super built-up  Area,Channasandra,1010.0,2.0,1.0,32.0,2
1597,Plot  Area,Chikka Tirupathi,2600.0,5.0,3.0,120.0,4
1598,Plot  Area,Chikka Tirupathi,2325.0,4.0,1.0,120.0,4
1599,Plot  Area,Chikka Tirupathi,1808.0,4.0,2.0,80.27,3
1600,Plot  Area,Chikka Tirupathi,3297.0,3.0,1.0,135.0,3
1601,Plot  Area,Chikka Tirupathi,3500.0,5.0,3.0,150.0,4
1602,Plot  Area,Chikka Tirupathi,2646.0,3.0,2.0,99.0,3
1603,Built-up  Area,Chikka Tirupathi,2704.0,5.0,0.0,105.0,4
1604,Plot  Area,Chikka Tirupathi,2325.0,3.0,2.0,95.0,3
1605,Plot  Area,Chikka Tirupathi,2325.0,4.0,1.0,120.0,4
1606,Built-up  Area,Chikka Tirupathi,3250.0,4.0,2.0,136.0,4
1607,Plot  Area,Chikka Tirupathi,2665.0,5.0,3.0,125.0,4
1608,Built-up  Area,Chikkabanavar,950.0,2.0,1.0,40.0,2
1609,Plot  Area,Chikkabanavar,1600.0,2.0,0.0,80.0,3
1610,Super built-up  Area,Chikkabanavar,600.0,1.0,2.0,25.0,2
1611,Built-up  Area,Chikkabanavar,2460.0,7.0,2.0,80.0,4
1612,Built-up  Area,Chikkabanavar,2400.0,4.0,0.0,97.0,5
1613,Built-up  Area,Chikkabanavar,2000.0,4.0,0.0,65.0,5
1614,Super built-up  Area,Chikkabanavar,1067.0,2.0,1.0,38.0,2
1615,Super built-up  Area,Chikkabanavar,1320.0,2.0,2.0,46.0,3
1616,Built-up  Area,Chikkabanavar,4000.0,7.0,0.0,110.0,8
1618,Built-up  Area,Chikkalasandra,1100.0,2.0,2.0,50.0,2
1619,Super built-up  Area,Chikkalasandra,1208.0,2.0,1.0,49.0,2
1620,Carpet  Area,Chikkalasandra,875.0,2.0,3.0,52.8,2
1622,Built-up  Area,Chikkalasandra,1800.0,1.0,1.0,128.0,2
1623,Built-up  Area,Chikkalasandra,1070.0,2.0,2.0,50.0,2
1624,Super built-up  Area,Chikkalasandra,1230.0,2.0,2.0,48.0,2
1625,Built-up  Area,Chikkalasandra,1428.0,2.0,1.0,80.0,3
1626,Super built-up  Area,Chikkalasandra,1070.0,2.0,1.0,42.8,2
1630,Super built-up  Area,Chikkalasandra,1075.0,2.0,1.0,46.76,2
1633,Super built-up  Area,Chikkalasandra,1070.0,2.0,1.0,45.48,2
1634,Super built-up  Area,Chikkalasandra,1100.0,2.0,2.0,50.0,2
1637,Built-up  Area,Chikkalasandra,1224.0,2.0,2.0,45.0,2
1638,Super built-up  Area,Chikkalasandra,1090.0,2.0,1.0,47.42,2
